id,dam_height,crest_length,penstock_diam,penstock_len,turbines,turbine_type,Q_m3s,gross_head_m,power_mw,annual_gwh,cost_musd,env_score
48,21.63,117.41,1.75,131.33,1,Francis,104.43,20.55,18.526,73.031,143.653,-0.004
49,26.09,158.41,3.35,255.64,2,Kaplan,70.02,24.79,14.985,59.07,220.132,0.025
50,31.69,119.43,3.26,188.99,3,Kaplan,117.98,30.11,30.667,120.889,216.837,0.066
51,35.8,196.73,3.66,192.32,3,Francis,199.55,34.01,58.588,230.955,404.876,0.05
52,27.51,60.83,2.26,229.23,3,Francis,47.88,26.13,10.801,42.576,93.392,0.001
53,16.01,292.18,2.37,387.93,2,Francis,71.62,15.21,9.404,37.071,242.354,0.011
54,48.8,56.69,1.21,116.37,1,Francis,255.66,46.36,102.319,403.343,230.411,0.005
55,16.42,234.2,2.81,64.54,3,Kaplan,49.23,15.6,6.63,26.135,198.245,0.022
56,47.53,128.59,3.35,178.34,1,Francis,91.8,45.15,35.781,141.049,337.797,0.088
57,28.19,276.94,1.5,217.62,1,Kaplan,158.48,26.78,36.638,144.429,423.322,0.044
58,16.63,203.79,1.24,376.49,3,Kaplan,154.48,15.8,21.071,83.061,188.415,-0.008
59,45.83,161.76,3.15,129.12,3,Francis,230.89,43.54,86.785,342.107,448.78,0.026
60,41.78,118.69,3.65,76.59,2,Kaplan,46.81,39.69,16.039,63.225,262.378,0.004
61,35.42,224.65,3.17,158.67,3,Francis,115.68,33.65,33.604,132.468,428.099,0.057
62,29.1,173.22,1.22,153.85,2,Kaplan,29.72,27.64,7.092,27.955,258.417,0.086
63,41.51,153.25,1.47,353.91,2,Francis,50.55,39.43,17.207,67.829,333.556,0.061
64,36.24,213.16,2.06,246.46,3,Kaplan,120.12,34.43,35.703,140.741,418.379,0.083
65,31.73,67.74,2.86,130.4,3,Kaplan,64.98,30.14,16.907,66.649,122.686,-0.008
66,46.75,236.74,1.81,103.12,2,Kaplan,61.02,44.41,23.394,92.219,574.434,0.117
67,49.72,189.8,3.01,192.58,2,Kaplan,63.52,47.23,25.899,102.093,495.152,0.104
68,15.84,220.06,1.58,69.97,2,Francis,49.68,15.05,6.455,25.444,180.097,0.057
69,28.03,100.54,1.07,278.45,1,Francis,187.78,26.63,43.169,170.172,179.759,-0.012
70,43.15,98.45,1.76,66.02,3,Kaplan,61.26,40.99,21.677,85.452,231.916,0.009
71,24.2,261.48,2.18,219.61,3,Kaplan,204.97,22.99,40.68,160.361,353.003,0.062
72,24.21,230.24,1.46,55.07,2,Francis,126.8,23.0,25.177,99.247,301.365,0.075
73,15.26,286.31,1.92,368.54,2,Kaplan,85.98,14.5,10.763,42.426,228.141,-0.0
74,18.02,278.38,1.77,92.73,2,Francis,94.81,17.12,14.012,55.237,263.431,0.034
75,46.85,258.79,2.6,158.83,2,Francis,62.98,44.51,24.2,95.396,627.995,0.108
76,14.36,198.26,1.73,392.33,3,Francis,57.77,13.64,6.802,26.815,148.473,-0.011
77,14.44,177.72,2.06,284.88,2,Francis,49.14,13.72,5.82,22.943,133.552,0.067
78,20.12,116.06,1.27,370.63,1,Kaplan,111.22,19.11,18.348,72.329,133.27,0.045
79,10.76,221.94,2.02,361.07,2,Kaplan,123.1,10.22,10.861,42.813,129.178,0.069
80,22.48,180.06,2.4,304.36,3,Kaplan,182.29,21.36,33.614,132.505,232.64,0.045
81,24.64,146.34,2.08,185.17,2,Francis,67.76,23.41,13.694,53.981,192.615,0.059
82,35.62,138.16,2.22,116.87,1,Francis,68.81,33.84,20.102,79.241,264.155,0.037
83,30.76,234.76,1.9,153.74,2,Francis,45.92,29.22,11.583,45.662,371.486,0.088
84,34.25,198.94,1.11,108.65,2,Francis,43.81,32.54,12.307,48.513,351.761,0.088
85,28.54,60.78,1.21,99.77,2,Francis,112.89,27.11,26.42,104.149,110.511,0.047
86,17.44,282.36,2.96,193.81,2,Kaplan,64.42,16.57,9.215,36.325,254.511,0.056
87,48.05,172.76,1.3,162.03,1,Kaplan,221.91,45.65,87.452,344.735,493.763,0.076
88,21.17,228.08,3.7,112.53,1,Francis,130.06,20.11,22.579,89.007,261.744,0.066
89,39.48,115.0,2.3,138.14,3,Francis,69.68,37.51,22.564,88.945,247.317,0.046
90,39.18,190.69,1.89,350.09,3,Kaplan,25.94,37.22,8.335,32.856,381.063,0.028
91,47.59,199.3,1.43,361.5,3,Kaplan,232.96,45.21,90.922,358.413,556.064,0.072
92,10.45,84.72,1.5,226.4,2,Kaplan,144.28,9.93,12.368,48.756,55.398,0.048
93,49.78,76.34,3.79,357.88,1,Francis,117.67,47.29,48.038,189.367,233.245,0.017
94,27.94,258.46,3.02,74.01,3,Francis,179.15,26.54,41.046,161.803,398.01,0.083
95,46.65,259.05,3.86,313.45,1,Kaplan,101.98,44.32,39.018,153.809,639.35,0.073
96,40.22,294.38,1.6,368.86,2,Francis,202.92,38.21,66.935,263.858,652.24,0.146
97,32.68,119.82,3.64,51.59,3,Francis,34.24,31.05,9.178,36.18,204.046,0.057
98,34.17,258.14,1.96,353.08,2,Kaplan,162.48,32.46,45.53,179.48,482.009,0.129
99,44.05,219.68,2.43,204.62,2,Francis,193.83,41.85,70.027,276.048,546.87,0.102
100,15.42,75.42,2.28,167.55,2,Francis,89.91,14.65,11.371,44.824,68.383,0.034
101,39.34,258.09,1.3,129.17,1,Francis,193.38,37.37,62.386,245.925,563.81,0.093
102,47.96,50.72,1.64,350.82,3,Kaplan,101.64,45.56,39.976,157.586,157.605,-0.001
103,34.01,77.43,2.67,119.13,1,Kaplan,56.3,32.31,15.704,61.903,145.803,0.033
104,48.91,183.76,1.32,102.21,1,Francis,151.06,46.46,60.587,238.834,503.913,0.076
105,48.87,201.49,3.16,91.7,3,Kaplan,70.41,46.43,28.222,111.25,517.74,0.068
106,48.55,287.99,3.28,64.68,1,Francis,236.73,46.12,94.253,371.545,783.923,0.163
107,22.31,216.39,2.54,244.08,1,Kaplan,194.26,21.19,35.536,140.082,273.365,0.008
108,10.37,197.92,1.52,230.2,1,Francis,144.99,9.85,12.329,48.601,113.718,0.043
109,40.72,191.66,1.25,95.32,3,Francis,51.62,38.68,17.237,67.947,405.733,0.082
110,31.49,238.65,2.68,395.94,3,Kaplan,78.34,29.92,20.235,79.765,393.966,0.1
111,29.13,156.82,1.71,183.77,3,Francis,55.68,27.67,13.3,52.43,240.379,0.093
112,29.49,54.32,1.97,383.9,2,Francis,59.71,28.02,14.443,56.936,93.094,0.021
113,37.56,182.48,3.02,164.41,2,Kaplan,142.89,35.68,44.013,173.498,382.309,0.077
114,22.95,152.38,2.03,396.94,1,Francis,111.93,21.8,21.065,83.037,193.814,0.06
115,26.58,290.98,2.36,355.19,1,Francis,129.5,25.25,28.228,111.275,412.118,0.077
116,12.53,160.19,2.04,276.81,3,Kaplan,119.81,11.9,12.308,48.519,111.436,0.014
117,15.6,232.34,1.06,385.73,2,Kaplan,53.91,14.82,6.897,27.189,187.433,0.024
118,16.79,53.66,1.58,344.59,1,Francis,173.53,15.95,23.894,94.19,66.552,-0.03
119,36.58,216.47,2.64,161.36,1,Kaplan,224.08,34.75,67.222,264.988,456.423,0.118
120,26.15,68.25,1.32,218.23,1,Kaplan,158.57,24.84,34.004,134.042,119.84,-0.01
121,42.12,193.3,3.96,214.56,3,Kaplan,132.24,40.01,45.675,180.053,448.198,0.104
122,22.41,223.46,3.82,247.93,2,Kaplan,175.99,21.29,32.346,127.506,279.498,0.073
123,14.79,263.88,1.78,270.92,3,Kaplan,122.63,14.05,14.874,58.633,208.526,0.018
124,15.35,286.55,1.75,276.36,2,Kaplan,158.95,14.58,20.006,78.865,237.933,0.023
125,10.48,247.79,2.57,61.08,3,Francis,33.68,9.96,2.896,11.416,132.448,0.005
126,45.16,181.06,2.92,211.25,3,Francis,58.1,42.9,21.517,84.821,428.199,0.104
127,47.52,70.6,3.06,377.27,2,Francis,82.74,45.14,32.243,127.1,196.764,0.012
128,36.06,208.11,3.69,130.97,1,Francis,129.84,34.26,38.401,151.378,409.784,0.042
129,23.98,141.79,1.41,337.25,2,Francis,39.31,22.78,7.731,30.474,176.964,0.047
130,11.68,53.58,1.83,110.21,2,Kaplan,137.45,11.1,13.171,51.92,43.145,0.022
131,35.33,152.59,1.62,224.97,3,Kaplan,104.74,33.56,30.345,119.62,296.861,0.041
132,21.44,61.84,3.08,142.69,3,Francis,193.45,20.37,34.018,134.1,96.909,0.053
133,33.76,161.76,1.12,123.67,1,Francis,70.46,32.07,19.507,76.897,290.607,0.068
134,34.84,130.5,2.76,90.25,2,Kaplan,141.16,33.1,40.336,159.004,263.633,0.034
135,19.15,63.8,1.47,366.18,2,Kaplan,130.0,18.19,20.414,80.472,79.461,0.001
136,46.09,103.72,3.23,387.54,2,Kaplan,203.83,43.79,77.054,303.747,308.371,0.072
137,14.26,211.08,1.21,235.74,2,Francis,117.83,13.55,13.783,54.333,162.905,0.009
138,48.52,77.1,2.37,287.01,1,Francis,51.62,46.09,20.539,80.964,205.53,0.04
139,38.88,84.65,2.0,345.26,3,Francis,220.09,36.94,70.186,276.672,227.727,0.057
140,48.59,124.45,1.03,153.16,1,Kaplan,133.8,46.16,53.318,210.179,350.337,0.093
141,44.52,102.79,2.51,206.53,3,Kaplan,48.81,42.29,17.82,70.245,244.848,0.004
142,35.69,173.87,2.59,81.03,2,Francis,42.17,33.91,12.345,48.663,321.381,0.08
143,30.66,210.26,3.3,313.3,1,Kaplan,61.11,29.13,15.368,60.579,336.159,0.019
144,14.13,211.65,3.09,257.48,1,Kaplan,146.09,13.42,16.925,66.718,164.763,0.056
145,10.09,168.38,2.48,334.49,3,Francis,144.28,9.59,11.945,47.086,95.698,-0.03
146,27.75,263.82,2.86,111.39,2,Kaplan,111.5,26.36,25.373,100.02,388.886,0.093
147,40.52,103.27,1.84,382.01,3,Francis,175.39,38.49,58.278,229.732,261.675,0.048
148,49.83,111.65,2.96,342.91,2,Kaplan,166.21,47.34,67.926,267.765,339.31,0.084
149,21.62,113.93,1.2,276.94,2,Kaplan,187.27,20.54,33.206,130.899,153.044,-0.017
150,24.13,225.26,2.0,287.16,2,Francis,25.99,22.92,5.142,20.272,276.404,0.092
151,43.23,220.66,2.43,306.89,1,Kaplan,85.89,41.07,30.452,120.043,504.364,0.051
152,48.3,236.84,2.79,349.14,1,Francis,132.62,45.88,52.527,207.062,619.243,0.086
153,26.95,294.72,1.9,373.74,2,Francis,205.88,25.6,45.499,179.359,438.085,0.054
154,26.2,265.91,1.61,102.36,2,Kaplan,91.96,24.89,19.759,77.892,366.126,0.073
155,30.29,66.44,1.39,220.28,3,Kaplan,160.71,28.78,39.929,157.399,136.559,-0.024
156,40.4,154.73,1.6,314.91,1,Francis,47.79,38.38,15.834,62.418,326.805,0.083
157,45.18,193.21,1.38,344.14,1,Francis,238.55,42.92,88.387,348.423,516.01,0.124
158,23.36,299.92,2.57,299.24,3,Kaplan,133.94,22.19,25.658,101.143,373.399,0.095
159,39.19,209.05,2.77,58.83,3,Kaplan,196.87,37.23,63.274,249.426,466.58,0.049
160,26.8,102.44,1.55,369.61,3,Francis,150.98,25.46,33.184,130.812,167.135,0.025
161,13.78,275.8,3.94,185.09,3,Kaplan,185.94,13.09,21.012,82.829,208.937,-0.008
162,37.17,163.57,3.76,87.8,2,Francis,74.55,35.31,22.725,89.581,324.447,0.086
163,38.91,293.97,2.64,262.21,1,Francis,164.57,36.96,52.509,206.991,619.177,0.095
164,11.67,246.38,2.94,206.3,3,Francis,25.71,11.09,2.461,9.703,145.978,0.038
165,11.17,76.2,1.81,304.41,1,Francis,165.64,10.61,15.172,59.807,56.212,-0.04
166,49.4,141.75,1.98,288.18,3,Francis,77.39,46.93,31.354,123.596,378.341,0.097
167,25.42,168.47,2.09,329.25,3,Kaplan,162.36,24.15,33.849,133.433,244.59,0.022
168,12.54,166.47,2.82,192.87,3,Francis,46.73,11.91,4.805,18.94,108.701,-0.009
169,15.98,104.55,3.16,278.36,3,Francis,178.1,15.18,23.339,92.003,104.541,0.006
170,45.15,140.46,1.56,267.24,1,Kaplan,88.75,42.89,32.861,129.537,346.663,0.079
171,26.5,280.26,1.96,215.93,3,Kaplan,42.07,25.17,9.141,36.035,379.572,0.11
172,15.99,99.38,1.34,370.55,1,Kaplan,154.35,15.19,20.24,79.787,97.671,-0.027
173,49.3,185.36,3.71,113.53,1,Francis,77.55,46.83,31.351,123.587,485.129,0.068
174,28.7,258.87,3.41,203.37,3,Francis,200.11,27.26,47.092,185.636,413.861,0.08
175,12.46,284.73,3.63,192.77,1,Kaplan,92.91,11.84,9.497,37.435,185.934,0.01
176,18.3,79.67,2.35,297.87,3,Francis,195.86,17.39,29.403,115.908,99.361,-0.03
177,27.49,175.96,2.66,271.19,1,Francis,46.8,26.12,10.553,41.599,251.355,0.066
178,38.5,253.63,2.72,104.89,1,Kaplan,144.01,36.57,45.464,179.22,529.156,0.12
179,14.58,280.59,3.76,307.33,1,Kaplan,88.57,13.85,10.59,41.745,214.081,0.025
180,48.98,169.7,2.07,326.37,1,Kaplan,66.01,46.53,26.515,104.523,439.459,0.124
181,32.4,176.75,3.64,90.09,3,Kaplan,168.51,30.78,44.776,176.507,326.633,0.034
182,16.67,64.35,1.84,208.8,2,Kaplan,53.1,15.84,7.261,28.623,60.171,0.017
183,44.88,225.68,2.17,339.43,3,Kaplan,100.05,42.64,36.829,145.179,539.572,0.056
184,35.64,127.74,2.43,343.48,1,Francis,64.69,33.86,18.909,74.541,244.651,0.016
185,24.02,156.71,2.03,392.7,1,Kaplan,38.64,22.82,7.612,30.007,195.06,0.013
186,34.88,136.6,2.38,136.6,2,Francis,45.68,33.14,13.069,51.517,249.992,0.042
187,46.25,216.57,2.27,190.79,2,Francis,222.28,43.94,84.316,332.375,576.703,0.097
188,17.77,81.9,3.79,335.28,1,Francis,158.87,16.88,23.151,91.26,93.604,0.047
189,14.52,200.43,1.15,188.73,2,Kaplan,149.05,13.79,17.744,69.946,161.482,0.073
190,46.23,207.5,3.84,122.34,2,Francis,83.98,43.92,31.841,125.518,508.293,0.079
191,13.7,131.01,3.48,252.85,2,Kaplan,79.55,13.01,8.934,35.22,97.783,-0.011
192,44.02,196.02,3.93,397.29,2,Kaplan,182.66,41.82,65.945,259.954,490.79,0.06
193,38.12,203.76,3.31,102.79,2,Francis,216.98,36.21,67.827,267.372,449.41,0.065
194,28.93,65.43,2.2,354.67,2,Kaplan,93.18,27.48,22.105,87.138,114.539,0.007
195,26.32,206.45,3.04,187.27,3,Francis,25.23,25.0,5.445,21.465,276.589,0.091
196,26.5,229.68,1.78,322.75,1,Francis,38.63,25.17,8.394,33.088,311.88,0.073
197,19.08,142.25,1.02,242.28,1,Francis,133.66,18.13,20.919,82.465,154.534,0.06
198,18.23,153.01,3.76,104.34,3,Kaplan,152.27,17.32,22.767,89.749,159.959,0.068
199,17.81,250.94,3.04,253.69,1,Kaplan,190.71,16.92,27.856,109.81,248.533,0.064
200,35.06,202.92,2.14,261.36,3,Kaplan,51.61,33.31,14.841,58.503,369.076,0.06
